frame,rmsd,matched_atoms,has_clashes,num_clashes,success,output,error
frame_1228.pdb,3.1268384205397335,33,False,0,True,aligned_frames/aligned_frame_1228.pdb,
frame_1232.pdb,1.8611901640496233,33,False,0,True,aligned_frames/aligned_frame_1232.pdb,
frame_1236.pdb,2.8241600769385364,33,False,0,True,aligned_frames/aligned_frame_1236.pdb,
frame_124.pdb,2.766393739925608,33,False,0,True,aligned_frames/aligned_frame_124.pdb,
frame_1240.pdb,1.4550396641338683,33,False,0,True,aligned_frames/aligned_frame_1240.pdb,
frame_1244.pdb,1.9251573537437772,33,False,0,True,aligned_frames/aligned_frame_1244.pdb,
frame_1248.pdb,2.3099447651911356,33,False,0,True,aligned_frames/aligned_frame_1248.pdb,
frame_1252.pdb,2.3984678481383708,33,False,0,True,aligned_frames/aligned_frame_1252.pdb,
frame_1256.pdb,2.3984678481383708,33,False,0,True,aligned_frames/aligned_frame_1256.pdb,
frame_1260.pdb,4.089123818049443,33,False,0,True,aligned_frames/aligned_frame_1260.pdb,
frame_1264.pdb,4.089123818049443,33,False,0,True,aligned_frames/aligned_frame_1264.pdb,
frame_1268.pdb,2.76990111140861,33,False,0,True,aligned_frames/aligned_frame_1268.pdb,
frame_1272.pdb,3.7328336661814476,33,False,0,True,aligned_frames/aligned_frame_1272.pdb,
frame_1276.pdb,2.0957640086528375,33,False,0,True,aligned_frames/aligned_frame_1276.pdb,
frame_128.pdb,2.5954741443472105,33,False,0,True,aligned_frames/aligned_frame_128.pdb,
frame_1280.pdb,2.004298594417111,33,False,0,True,aligned_frames/aligned_frame_1280.pdb,
frame_1284.pdb,2.2243852953556686,33,False,0,True,aligned_frames/aligned_frame_1284.pdb,
frame_1288.pdb,1.328995166705817,33,False,0,True,aligned_frames/aligned_frame_1288.pdb,
frame_1292.pdb,1.3360387444177033,33,False,0,True,aligned_frames/aligned_frame_1292.pdb,
frame_1296.pdb,1.3360387444177033,33,False,0,True,aligned_frames/aligned_frame_1296.pdb,
frame_1300.pdb,2.5925170246818374,33,False,0,True,aligned_frames/aligned_frame_1300.pdb,
frame_1304.pdb,2.5925170246818374,33,False,0,True,aligned_frames/aligned_frame_1304.pdb,
frame_1308.pdb,2.3919815366151127,33,False,0,True,aligned_frames/aligned_frame_1308.pdb,
frame_1312.pdb,2.7822571027194587,33,False,0,True,aligned_frames/aligned_frame_1312.pdb,
frame_1316.pdb,2.0681857949338123,33,False,0,True,aligned_frames/aligned_frame_1316.pdb,
frame_132.pdb,2.9911852980017053,33,False,0,True,aligned_frames/aligned_frame_132.pdb,
frame_1320.pdb,1.4546581993997019,33,False,0,True,aligned_frames/aligned_frame_1320.pdb,
frame_1324.pdb,2.107946881336842,33,False,0,True,aligned_frames/aligned_frame_1324.pdb,
frame_1328.pdb,3.0064858036430633,33,False,0,True,aligned_frames/aligned_frame_1328.pdb,
frame_1332.pdb,2.6423792345242885,33,False,0,True,aligned_frames/aligned_frame_1332.pdb,
frame_1336.pdb,2.6982774619791505,33,False,0,True,aligned_frames/aligned_frame_1336.pdb,
frame_1340.pdb,3.019043512162335,33,False,0,True,aligned_frames/aligned_frame_1340.pdb,
frame_1344.pdb,2.8506698444282064,33,False,0,True,aligned_frames/aligned_frame_1344.pdb,
frame_1348.pdb,2.9111896661507335,33,False,0,True,aligned_frames/aligned_frame_1348.pdb,
frame_1352.pdb,2.9111896661507335,33,False,0,True,aligned_frames/aligned_frame_1352.pdb,
frame_1356.pdb,2.2887965684992664,33,False,0,True,aligned_frames/aligned_frame_1356.pdb,
frame_136.pdb,3.3656782775741347,33,False,0,True,aligned_frames/aligned_frame_136.pdb,
frame_1360.pdb,3.0923167781919765,33,False,0,True,aligned_frames/aligned_frame_1360.pdb,
frame_1364.pdb,1.1618688241284785,33,False,0,True,aligned_frames/aligned_frame_1364.pdb,
frame_1368.pdb,1.9741332902869009,33,False,0,True,aligned_frames/aligned_frame_1368.pdb,
frame_1372.pdb,1.7530195671559077,33,False,0,True,aligned_frames/aligned_frame_1372.pdb,
frame_1376.pdb,1.7530195671559077,33,False,0,True,aligned_frames/aligned_frame_1376.pdb,
frame_1380.pdb,2.0800832670452314,33,False,0,True,aligned_frames/aligned_frame_1380.pdb,
frame_1384.pdb,2.0800832670452314,33,False,0,True,aligned_frames/aligned_frame_1384.pdb,
frame_1388.pdb,2.0670623383504574,33,False,0,True,aligned_frames/aligned_frame_1388.pdb,
frame_1392.pdb,2.1182144734868307,33,False,0,True,aligned_frames/aligned_frame_1392.pdb,
