Rank,Frame,RMSD
1,frame_1468.pdb,47.1834361228383
2,frame_908.pdb,46.626529381139584
3,frame_3564.pdb,43.518924287107524
4,frame_1832.pdb,42.8577938200948
5,frame_764.pdb,42.21415886723812
6,frame_1000.pdb,37.57521919456656
7,frame_3312.pdb,37.50322089160922
8,frame_2076.pdb,4.233441564557499
9,frame_12.pdb,4.212778313023448
10,frame_1836.pdb,4.168134469039212
